98026,14335,10420,3915,84.1,86.9,76.6,2.1,1,4.9,0.5,0.7,0,9.5,9,10.8,0.3,0,1,1,0.6,1.8,2.6,1.7,4.9,3.4,2.1,6.8,82,85.5,72.7,13.6,7.4,30.2,16.4,13.1,25.3,22.3,22.9,20.6,23.8,27.4
98027,10847,7734,3113,84.8,87,79.6,2.2,0.9,5.4,0.1,0,0.4,10.6,10.6,10.4,0,0,0,0.5,0.3,0.8,1.8,1.2,3.4,3.8,2.5,6.9,82.3,84.9,75.7,15.9,8,35.7,18.2,16.9,21.4,25.7,28.6,18.5,19.6,24.2
98028,8027,5834,2193,84.7,85.7,82.2,1.2,0.5,3.1,0.7,0.8,0.6,9.3,9.6,8.3,0.1,0.2,0,2.2,1.3,4.5,1.8,2,1.5,5.5,2.8,12.5,81.6,84.1,74.9,17.2,10.9,34,19.9,16.5,29,20.7,24.6,10.3,20.1,24.6
98029,10549,7198,3351,72.9,73.7,71.1,2.4,1,5.4,0,0,0,21.3,23.6,16.4,0.1,0,0.2,1,0.8,1.4,2.3,0.8,5.5,3.1,3.1,2.9,70.4,71.1,68.9,17.9,14.4,25.4,24.2,23.9,24.8,24.2,25.9,20.4,16.3,18.5
98030,11726,5525,6201,64.4,69.4,59.9,12.6,6.3,18.2,0.5,0.7,0.3,12.6,18.6,7.4,1.6,1.7,1.6,5,1,8.5,3.2,2.3,4,10.8,4.1,16.8,58.9,66.7,52,26.1,12.4,38.3,21.6,22,21.2,18.3,22.2,14.8,18.1,23.7
98031,12125,7761,4364,62.1,67.3,52.8,10.1,4.6,19.8,0.4,0.4,0.3,17.5,20.8,11.5,1,0.9,1.1,3.7,1,8.6,5.3,5,5.8,8.7,4.4,16.5,57.8,64.8,45.2,20.1,8.7,40.2,21.5,18.4,26.9,25.2,29.1,18.2,16.6,21.8
98032,13411,5530,7881,64.5,73.6,58.2,10.3,6.7,12.9,1.1,1,1.1,10.6,14.1,8.2,2.5,0.2,4.1,7.9,2.8,11.4,3.1,1.6,4.1,19.3,11.4,24.9,55,66.2,47.1,27.7,12.5,38.4,18.6,19.1,18.2,21.1,24.1,19,17,22.1
98033,15592,10080,5512,83.7,84.3,82.5,1,0.4,2.1,0.5,0.1,1.2,10.3,11.4,8.4,0,0,0.1,1.4,0.7,2.6,3.1,3.1,3,4.3,2.8,7.1,81.1,82.8,77.9,20,11,36.5,21.6,21.6,21.7,21.2,24.6,14.8,17.6,19.8
98034,17282,10583,6699,81.9,83.9,78.8,0.6,0.5,0.7,0.5,0.4,0.8,12.4,12.2,12.7,0.1,0,0.3,1.7,0.9,3,2.7,2,3.7,5.5,3.2,9.2,78.4,82,72.7,24.7,12.5,44.1,19.2,17.7,21.7,21.3,25.3,15,18,23.7
98036,14258,8871,5387,71,76.2,62.5,6.6,3.5,11.9,1.2,0.5,2.5,12.9,13.2,12.4,0.5,0.7,0,2.6,1.8,3.9,5.2,4.1,6.9,7.2,5.6,9.7,67.5,73,58.5,18.3,11.1,30,22.6,22.8,22.2,20.5,23.1,16.2,17.8,22.5
98037,10204,5803,4401,71.4,72.1,70.5,5.9,4.3,8.1,0.8,0.3,1.4,15.8,19.2,11.2,0.7,0.3,1.2,2.4,1.3,3.8,3,2.4,3.8,8.1,4.6,12.7,66.8,69.8,62.9,23.1,9.8,40.6,20.8,15.8,27.3,19.7,24.9,12.9,18.3,24.7
98038,12012,10196,1816,88.7,89.5,83.9,2.3,1.8,5,0.5,0.4,1.4,3.4,3.7,1.4,0,0,0,1.4,1.6,0,3.7,2.9,8.3,4,4.4,2.1,86.5,87.1,83.3,13.4,11.3,25.6,23.4,22.5,28.8,25.9,27,19.2,20.2,21.3
98039,1087,996,91,81,80.2,90.1,0.4,0.4,0,0,0,0,15.9,17.4,0,0,0,0,0.7,0.4,4.4,1.9,1.6,5.5,0.6,0,6.6,80.5,80.2,83.5,1.5,1.6,0,17.9,14.2,59.3,25.1,25.8,17.6,24.1,25.2
98040,9583,6895,2688,80.6,81,79.4,1.7,0.8,4,0,0,0,15.6,15.9,14.7,0.1,0.1,0,0.4,0.4,0.4,1.6,1.7,1.5,2.6,2.5,2.9,78.6,79.2,76.9,10.3,2.3,30.7,15.5,14.3,18.6,22.6,23,21.5,20.9,26.3
98042,15784,12918,2866,84.9,85.5,82.3,3.4,3,5.4,0.6,0.6,0.6,7.2,7.6,5.1,0.4,0.4,0.4,0.8,0.7,1,2.7,2.1,5.3,5.2,4.7,7.6,81.2,81.9,77.9,15.2,11.4,32.2,18.7,18.1,21.4,24.4,26.1,17.1,23.3,25.7
98043,8155,4813,3342,79.9,81.9,77.1,3.7,2.2,5.9,0.8,0.6,1,9.7,10.7,8.3,0.3,0.2,0.4,1.9,1.6,2.3,3.6,2.8,4.8,7.2,5.4,9.8,75.7,79.1,70.9,22.2,11.8,37.1,18.1,17.3,19.1,24.2,27.2,19.9,17.8,21
98045,5600,4259,1341,95.9,97,92.3,0.9,0.5,2,0,0,0,0.7,0.9,0,0,0,0,0,0,0,2.6,1.6,5.7,4.8,2.4,12.5,92.4,94.6,85.5,12.6,8.1,26.8,23.8,21.4,31.5,25.2,27.9,16.6,25.3,27
98047,2253,1183,1070,75.1,79.5,70.3,4.5,2.5,6.7,0.4,0,0.9,7.1,11.3,2.4,3.5,1,6.2,1.5,1.7,1.2,7.9,3.9,12.2,13.1,7,19.9,65.5,74.9,55,23.4,17.2,30.3,21.7,16.8,27,24.8,29.2,20,19.5,25.3
98050,33,33,0,100,100,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,100,100,-,0,0,-,0,0,-,63.6,63.6,-,36.4,36.4
98051,1312,1037,275,89.2,90.3,85.1,1.1,0,5.1,0.7,0.9,0,3.2,4.1,0,3,3.8,0,0,0,0,2.9,1.1,9.8,1.7,2.1,0,87.5,88.1,85.1,16.5,11.7,34.9,23.3,18.3,42.2,21,26.5,0,26.6,27.6
98052,24782,13280,11502,67.1,72.5,60.9,2.5,1.5,3.6,0.1,0.3,0,25.7,22,29.9,0.2,0,0.4,1.6,1.2,2.1,2.8,2.5,3.1,6.8,3.8,10.3,62.1,70.2,52.8,29.5,11.6,50.1,25.1,27.4,22.4,17.4,22.3,11.8,13.7,20.4
98053,7876,6768,1108,79.2,78.8,81.3,1.1,0.7,3.5,0.6,0.7,0,17.2,18.5,9.7,0.2,0.2,0,0.3,0,2,1.5,1.2,3.5,2.4,2.5,2,77.7,77.1,81.3,9,6,26.8,24.8,25.8,19,20.6,21.3,16.3,19.6,20.9
98055,8884,4700,4184,54.2,56.2,51.9,14.8,10.6,19.5,1.4,0.8,2,20.7,24.1,16.9,1.6,2.7,0.5,2.4,1.4,3.5,4.9,4.2,5.7,6.8,3.3,10.7,51.8,55.2,48.1,26.1,15.3,38.2,18.7,19.3,18,19.7,21.6,17.4,16.3,17.9
98056,13415,6928,6487,66.5,72.8,59.8,7.2,2.9,11.9,0.2,0.3,0.1,16.3,19.7,12.7,0.5,0,1,4.7,0.6,9.1,4.5,3.7,5.4,10.6,4.3,17.2,61.8,69.7,53.5,24.2,12.8,36.4,22.3,22,22.7,23.4,25.8,20.7,16.2,20.6
98057,5852,1497,4355,54.4,55.9,53.9,22.5,10.1,26.8,0.5,0,0.7,16.3,27.7,12.4,0.4,1.5,0,2.1,0,2.8,3.8,4.8,3.4,7.7,3.3,9.2,49.2,52.6,48.1,27.6,11.2,33.2,21,23.9,19.9,17.3,18.3,17,17.7,28.1
98058,15893,11605,4288,69.4,71,64.8,7.9,5.5,14.5,0.4,0.6,0,15.2,17,10.4,0.2,0.1,0.7,2.9,2.1,5.2,4,3.8,4.5,6.6,5.2,10.6,66.4,68.8,59.9,16.7,9.8,35.1,23,21.7,26.6,22.6,24.8,16.7,20.7,23.1
98059,13217,10557,2660,72,72.1,71.8,4.4,2.7,11,0.3,0.4,0,17,19.2,8.2,0.3,0.4,0,2,1.4,4.1,3.9,3.7,4.8,6.3,3.9,15.7,68.5,70.1,62.2,15.5,11.2,32.8,24.2,23.1,28.3,23.5,25.2,16.9,18.3,19.7
98065,4713,3759,954,88.9,89.5,86.6,0,0,0,0.6,0.4,1.4,7.1,7.2,7,0,0,0,0.3,0.4,0,3,2.5,5,3.8,3.8,3.8,85.8,86.6,82.8,18.7,16.4,27.5,29.9,28.5,35.6,28.5,30.5,20.2,14.8,15.4
98068,110,83,27,87.3,100,48.1,4.5,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,33.3,4.5,0,18.5,87.3,100,48.1,10,0,40.7,27.3,16.9,59.3,33.6,44.6,0,20,26.5
98070,4757,3649,1108,95.9,97.1,91.7,0.3,0.3,0,0.6,0.5,1.1,1.7,0,7.2,0,0,0,0,0,0,1.6,2.1,0,2.4,1.8,4.2,93.8,95.8,87.5,7.5,3.9,19.2,11.1,8.4,20,20.3,21.8,15.2,28.9,33
98072,8723,6551,2172,88.6,88.1,90.1,0.6,0.4,1,0.6,0.2,1.6,8.3,9,6.1,1,1.4,0,0,0,0,1,0.9,1.2,3.2,1.5,8.1,86.3,87,84.4,11.8,6.3,28.4,19.1,18.8,20.2,25.8,29.6,14.3,22,25.3
98074,8778,7640,1138,76.3,76.2,76.6,0.4,0.5,0,0,0,0,20.3,21.1,14.9,0,0,0,0.3,0.4,0,2.7,1.9,8.4,3.8,3.5,5.9,73.4,73.8,70.7,9.2,7.2,23,30.9,29.9,38,29.9,30.9,22.9,19.4,21.2
98075,7369,6416,953,75.2,76,69.5,0.4,0.2,1.6,0.2,0.2,0,22.1,22.1,22.2,0.4,0.4,0,0.4,0.1,2.8,1.4,1,3.9,1.9,1.8,2.5,73.4,74.4,66.9,8.3,6.1,23.1,29.8,27.2,47.4,34.6,37,18.2,16.9,17.9
98077,4806,4524,282,92.9,93.1,90.1,0.6,0.6,0,0.2,0.2,0,4.6,4.9,0,0,0,0,0.6,0.5,2.5,1.1,0.7,7.4,3.1,2.8,8.9,90.8,90.8,90.1,7,5.8,25.2,21,19.3,47.9,29.7,31.4,2.5,27.9,28.7
98087,12175,6266,5909,66,65.8,66.3,5.1,4,6.2,1.3,1.2,1.4,17.6,21.5,13.4,1.4,1.7,0.9,2.9,1.4,4.4,5.8,4.4,7.3,10.6,8.3,13,59.4,59.7,59.1,30.2,19,42,21.5,23.2,19.6,19.7,23.8,15.4,15.7,17.2
